n,method,seed,accuracy
3,DiagonalERM,7,0.518668
3,DiagonalERM,8,0.513532
3,DiagonalERM,9,0.496589
3,DiagonalERM,10,0.502890
3,DiagonalERM,11,0.516683
3,DiagonalERM,12,0.528987
3,DiagonalERM,13,0.512667
3,DiagonalERM,14,0.510833
3,DiagonalERM,15,0.507323
3,DiagonalERM,16,0.538715
3,DiagonalERM,17,0.504981
3,DiagonalERM,18,0.518830
3,DiagonalERM,19,0.516785
4,DiagonalERM,0,0.515400
4,DiagonalERM,1,0.497431
4,DiagonalERM,2,0.507023
4,DiagonalERM,3,0.526809
4,DiagonalERM,4,0.534442
4,DiagonalERM,5,0.513391
4,DiagonalERM,6,0.523982
4,DiagonalERM,7,0.478111
4,DiagonalERM,8,0.489037
4,DiagonalERM,9,0.528535
4,DiagonalERM,10,0.500916
4,DiagonalERM,11,0.521043
4,DiagonalERM,12,0.506119
4,DiagonalERM,13,0.532181
4,DiagonalERM,14,0.517345
4,DiagonalERM,15,0.525473
4,DiagonalERM,16,0.503781
4,DiagonalERM,17,0.494041
4,DiagonalERM,18,0.506042
4,DiagonalERM,19,0.498898
5,DiagonalERM,0,0.509657
5,DiagonalERM,1,0.504179
5,DiagonalERM,2,0.516119
5,DiagonalERM,3,0.484023
5,DiagonalERM,4,0.511275
5,DiagonalERM,5,0.512811
5,DiagonalERM,6,0.518312
5,DiagonalERM,7,0.516373
5,DiagonalERM,8,0.490774
5,DiagonalERM,9,0.515609
5,DiagonalERM,10,0.508797
5,DiagonalERM,11,0.489908
5,DiagonalERM,12,0.519327
5,DiagonalERM,13,0.512297
5,DiagonalERM,14,0.550202
5,DiagonalERM,15,0.508405
5,DiagonalERM,16,0.521641
5,DiagonalERM,17,0.500264
5,DiagonalERM,18,0.510143
5,DiagonalERM,19,0.479884
6,DiagonalERM,0,0.530853
6,DiagonalERM,1,0.498947
6,DiagonalERM,2,0.502720
6,DiagonalERM,3,0.518536
6,DiagonalERM,4,0.515498
6,DiagonalERM,5,0.521389
6,DiagonalERM,6,0.518471
6,DiagonalERM,7,0.512055
6,DiagonalERM,8,0.532552
6,DiagonalERM,9,0.520391
6,DiagonalERM,10,0.528085
6,DiagonalERM,11,0.526669
6,DiagonalERM,12,0.490404
6,DiagonalERM,13,0.504869
6,DiagonalERM,14,0.511839
6,DiagonalERM,15,0.522449
6,DiagonalERM,16,0.519756
6,DiagonalERM,17,0.512314
6,DiagonalERM,18,0.489668
6,DiagonalERM,19,0.522534
8,DiagonalERM,0,0.506831
8,DiagonalERM,1,0.504096
8,DiagonalERM,2,0.514590
8,DiagonalERM,3,0.513302
8,DiagonalERM,4,0.491425
8,DiagonalERM,5,0.510184
8,DiagonalERM,6,0.506159
8,DiagonalERM,7,0.478933
8,DiagonalERM,8,0.504793
8,DiagonalERM,9,0.512475
8,DiagonalERM,10,0.525393
8,DiagonalERM,11,0.520844
8,DiagonalERM,12,0.517190
8,DiagonalERM,13,0.504674
8,DiagonalERM,14,0.514607
8,DiagonalERM,15,0.544002
8,DiagonalERM,16,0.493399
8,DiagonalERM,17,0.513729
8,DiagonalERM,18,0.507342
8,DiagonalERM,19,0.516031
10,DiagonalERM,0,0.506313
10,DiagonalERM,1,0.519761
10,DiagonalERM,2,0.491951
10,DiagonalERM,3,0.519975
10,DiagonalERM,4,0.499601
10,DiagonalERM,5,0.522359
10,DiagonalERM,6,0.516839
10,DiagonalERM,7,0.523244
10,DiagonalERM,8,0.518226
10,DiagonalERM,9,0.514328
10,DiagonalERM,10,0.515392
10,DiagonalERM,11,0.530092
10,DiagonalERM,12,0.519878
10,DiagonalERM,13,0.511706
10,DiagonalERM,14,0.520989
10,DiagonalERM,15,0.518330
10,DiagonalERM,16,0.520363
10,DiagonalERM,17,0.523157
10,DiagonalERM,18,0.549963
10,DiagonalERM,19,0.497532
12,DiagonalERM,0,0.505886
12,DiagonalERM,1,0.516176
12,DiagonalERM,2,0.510992
12,DiagonalERM,3,0.499289
12,DiagonalERM,4,0.519712
12,DiagonalERM,5,0.494474
12,DiagonalERM,6,0.529513
12,DiagonalERM,7,0.525452
12,DiagonalERM,8,0.491888
12,DiagonalERM,9,0.502833
12,DiagonalERM,10,0.498583
12,DiagonalERM,11,0.524573
12,DiagonalERM,12,0.505205
12,DiagonalERM,13,0.510117
12,DiagonalERM,14,0.497502
12,DiagonalERM,15,0.518022
12,DiagonalERM,16,0.504174
12,DiagonalERM,17,0.522559
12,DiagonalERM,18,0.528735
12,DiagonalERM,19,0.494316
0,Probe+LR (random),0,0.485536
0,Probe+LR (random),1,0.487342
0,Probe+LR (random),2,0.536339
0,Probe+LR (random),3,0.501128
0,Probe+LR (random),4,0.501242
0,Probe+LR (random),5,0.549042
0,Probe+LR (random),6,0.505092
0,Probe+LR (random),7,0.520503
0,Probe+LR (random),8,0.510497
0,Probe+LR (random),9,0.529466
0,Probe+LR (random),10,0.518558
0,Probe+LR (random),11,0.520110
0,Probe+LR (random),12,0.487840
0,Probe+LR (random),13,0.532243
0,Probe+LR (random),14,0.514862
0,Probe+LR (random),15,0.553695
0,Probe+LR (random),16,0.555699
0,Probe+LR (random),17,0.551880
0,Probe+LR (random),18,0.502646
0,Probe+LR (random),19,0.536277
1,Probe+LR (random),0,0.561787
1,Probe+LR (random),1,0.585702
1,Probe+LR (random),2,0.636248
1,Probe+LR (random),3,0.606602
1,Probe+LR (random),4,0.643342
1,Probe+LR (random),5,0.652049
1,Probe+LR (random),6,0.615892
1,Probe+LR (random),7,0.653773
1,Probe+LR (random),8,0.628086
1,Probe+LR (random),9,0.626602
1,Probe+LR (random),10,0.670203
1,Probe+LR (random),11,0.630059
1,Probe+LR (random),12,0.652613
1,Probe+LR (random),13,0.608227
1,Probe+LR (random),14,0.672575
1,Probe+LR (random),15,0.599739
1,Probe+LR (random),16,0.652133
1,Probe+LR (random),17,0.627744
1,Probe+LR (random),18,0.637984
1,Probe+LR (random),19,0.678640
2,Probe+LR (random),0,0.689118
2,Probe+LR (random),1,0.707736
2,Probe+LR (random),2,0.687010
2,Probe+LR (random),3,0.739654
2,Probe+LR (random),4,0.747906
2,Probe+LR (random),5,0.733454
2,Probe+LR (random),6,0.740538
2,Probe+LR (random),7,0.692537
2,Probe+LR (random),8,0.722167
2,Probe+LR (random),9,0.679021
2,Probe+LR (random),10,0.746242
2,Probe+LR (random),11,0.719835
2,Probe+LR (random),12,0.702534
2,Probe+LR (random),13,0.745666
2,Probe+LR (random),14,0.680248
2,Probe+LR (random),15,0.767501
2,Probe+LR (random),16,0.689381
2,Probe+LR (random),17,0.736157
2,Probe+LR (random),18,0.695304
2,Probe+LR (random),19,0.717993
3,Probe+LR (random),0,0.766972
3,Probe+LR (random),1,0.756677
3,Probe+LR (random),2,0.787574
3,Probe+LR (random),3,0.780185
3,Probe+LR (random),4,0.781851
3,Probe+LR (random),5,0.763636
3,Probe+LR (random),6,0.805774
3,Probe+LR (random),7,0.722253
3,Probe+LR (random),8,0.816252
3,Probe+LR (random),9,0.797759
3,Probe+LR (random),10,0.767642
3,Probe+LR (random),11,0.779272
3,Probe+LR (random),12,0.729796
3,Probe+LR (random),13,0.773201
3,Probe+LR (random),14,0.816082
3,Probe+LR (random),15,0.761312
3,Probe+LR (random),16,0.787614
3,Probe+LR (random),17,0.761847
3,Probe+LR (random),18,0.752841
3,Probe+LR (random),19,0.771460
4,Probe+LR (random),0,0.760388
4,Probe+LR (random),1,0.813283
4,Probe+LR (random),2,0.814845
4,Probe+LR (random),3,0.812573
4,Probe+LR (random),4,0.757506
4,Probe+LR (random),5,0.812438
4,Probe+LR (random),6,0.805008
4,Probe+LR (random),7,0.822763
4,Probe+LR (random),8,0.817327
4,Probe+LR (random),9,0.801808
4,Probe+LR (random),10,0.765332
4,Probe+LR (random),11,0.806140
4,Probe+LR (random),12,0.807449
4,Probe+LR (random),13,0.814005
4,Probe+LR (random),14,0.794622
4,Probe+LR (random),15,0.794388
4,Probe+LR (random),16,0.846655
4,Probe+LR (random),17,0.817470
4,Probe+LR (random),18,0.812867
4,Probe+LR (random),19,0.803132
5,Probe+LR (random),0,0.831315
5,Probe+LR (random),1,0.857697
5,Probe+LR (random),2,0.800334
5,Probe+LR (random),3,0.869303
5,Probe+LR (random),4,0.865728
5,Probe+LR (random),5,0.864017
5,Probe+LR (random),6,0.853916
5,Probe+LR (random),7,0.845221
5,Probe+LR (random),8,0.858600
5,Probe+LR (random),9,0.843026
5,Probe+LR (random),10,0.820788
5,Probe+LR (random),11,0.844599
5,Probe+LR (random),12,0.868144
5,Probe+LR (random),13,0.831218
5,Probe+LR (random),14,0.825623
5,Probe+LR (random),15,0.860499
5,Probe+LR (random),16,0.839311
5,Probe+LR (random),17,0.857796
5,Probe+LR (random),18,0.862510
5,Probe+LR (random),19,0.860355
6,Probe+LR (random),0,0.868127
6,Probe+LR (random),1,0.878716
6,Probe+LR (random),2,0.863127
6,Probe+LR (random),3,0.877661
6,Probe+LR (random),4,0.855358
6,Probe+LR (random),5,0.880800
6,Probe+LR (random),6,0.881874
