n,C_commit,seed,total_cost
1,50,7,93.977711
1,50,8,95.475520
1,50,9,89.545485
1,50,10,92.687695
1,50,11,92.916098
1,50,12,93.490362
1,50,13,88.989696
1,50,14,92.109260
1,50,15,95.587237
1,50,16,95.501799
1,50,17,93.421389
1,50,18,88.174847
1,50,19,94.533452
2,50,0,81.107498
2,50,1,84.926343
2,50,2,85.705339
2,50,3,82.196162
2,50,4,84.648439
2,50,5,77.922776
2,50,6,82.927622
2,50,7,83.217471
2,50,8,83.344970
2,50,9,85.018369
2,50,10,85.314798
2,50,11,84.544556
2,50,12,79.492630
2,50,13,80.844171
2,50,14,86.126000
2,50,15,81.318932
2,50,16,85.619434
2,50,17,79.612409
2,50,18,85.854682
2,50,19,83.257398
3,50,0,80.206058
3,50,1,77.226620
3,50,2,76.902946
3,50,3,74.813485
3,50,4,76.976466
3,50,5,78.118679
3,50,6,76.031743
3,50,7,74.722460
3,50,8,77.148598
3,50,9,78.110844
3,50,10,76.407548
3,50,11,71.160700
3,50,12,75.901166
3,50,13,70.857666
3,50,14,78.219732
3,50,15,74.713451
3,50,16,75.821777
3,50,17,75.464206
3,50,18,78.740878
3,50,19,75.454978
4,50,0,73.391014
4,50,1,68.780935
4,50,2,73.701100
4,50,3,73.855078
4,50,4,73.013694
4,50,5,75.079856
4,50,6,69.996951
4,50,7,73.181017
4,50,8,70.125970
4,50,9,70.779018
4,50,10,73.034310
4,50,11,70.605681
4,50,12,69.500801
4,50,13,73.270286
4,50,14,72.739921
4,50,15,68.178095
4,50,16,72.968433
4,50,17,69.248240
4,50,18,69.750760
4,50,19,75.598841
5,50,0,72.632757
5,50,1,67.441464
5,50,2,75.988801
5,50,3,71.157244
5,50,4,69.017315
5,50,5,71.795165
5,50,6,73.037516
5,50,7,71.591129
5,50,8,73.715147
5,50,9,68.802939
5,50,10,66.943536
5,50,11,70.937228
5,50,12,70.045649
5,50,13,72.599402
5,50,14,70.771624
5,50,15,72.363707
5,50,16,71.926792
5,50,17,71.017792
5,50,18,70.301177
5,50,19,68.713614
6,50,0,68.864128
6,50,1,69.572881
6,50,2,71.482449
6,50,3,70.600362
6,50,4,68.528487
6,50,5,69.359842
6,50,6,65.998773
6,50,7,70.745247
6,50,8,70.147279
6,50,9,66.957822
6,50,10,67.888089
6,50,11,71.047761
6,50,12,67.649284
6,50,13,74.546488
6,50,14,67.713919
6,50,15,71.213097
6,50,16,71.906713
6,50,17,65.753723
6,50,18,70.015832
6,50,19,69.207824
8,50,0,75.666337
8,50,1,70.355484
8,50,2,77.220601
8,50,3,73.318171
8,50,4,74.629650
8,50,5,70.421548
8,50,6,74.128476
8,50,7,72.049850
8,50,8,75.066554
8,50,9,69.544300
8,50,10,76.125470
8,50,11,71.474370
8,50,12,73.736429
8,50,13,70.875622
8,50,14,72.976360
8,50,15,70.396173
8,50,16,73.081888
8,50,17,70.056202
8,50,18,73.788014
8,50,19,73.688501
10,50,0,70.958488
10,50,1,77.028644
10,50,2,73.725095
10,50,3,74.469258
10,50,4,73.817638
10,50,5,75.166566
10,50,6,73.720366
10,50,7,73.504088
10,50,8,77.126909
10,50,9,77.912060
10,50,10,75.016774
10,50,11,71.846783
10,50,12,74.633367
10,50,13,76.030672
10,50,14,76.025371
10,50,15,72.399434
10,50,16,78.152619
10,50,17,79.714864
10,50,18,73.288855
10,50,19,76.462149
12,50,0,78.773257
12,50,1,75.909160
12,50,2,77.626698
12,50,3,81.368402
12,50,4,80.595299
12,50,5,83.777583
12,50,6,81.859685
12,50,7,80.191223
12,50,8,84.074782
12,50,9,77.391457
12,50,10,81.645753
12,50,11,83.610753
12,50,12,80.237423
12,50,13,81.165055
12,50,14,78.218120
12,50,15,84.819551
12,50,16,79.791123
12,50,17,79.095442
12,50,18,81.452831
12,50,19,80.596404
0,200,0,318.982954
0,200,1,308.960938
0,200,2,313.617325
0,200,3,314.323873
0,200,4,306.294597
0,200,5,312.861001
0,200,6,303.111181
0,200,7,319.912007
0,200,8,310.369267
0,200,9,321.207407
0,200,10,319.975052
0,200,11,310.213666
0,200,12,319.968014
0,200,13,325.382292
0,200,14,313.768725
0,200,15,329.904622
0,200,16,317.290836
0,200,17,320.659745
0,200,18,322.521702
0,200,19,303.474795
1,200,0,283.200436
1,200,1,284.928225
1,200,2,268.770031
1,200,3,274.347066
1,200,4,281.193828
1,200,5,283.564937
1,200,6,280.842760
1,200,7,276.786709
1,200,8,288.350929
1,200,9,276.629840
1,200,10,279.325427
1,200,11,277.899241
1,200,12,270.783448
1,200,13,291.885302
1,200,14,274.372414
1,200,15,269.165131
1,200,16,278.254723
1,200,17,281.455234
1,200,18,272.419643
1,200,19,269.624674
2,200,0,259.673877
2,200,1,256.565083
2,200,2,248.891006
2,200,3,260.081557
2,200,4,243.271602
2,200,5,251.671619
2,200,6,253.294472
2,200,7,264.064751
2,200,8,266.113510
2,200,9,254.283669
2,200,10,257.666993
2,200,11,255.163963
2,200,12,252.891299
2,200,13,249.514424
2,200,14,247.789096
2,200,15,256.350169
2,200,16,257.904553
2,200,17,249.375589
2,200,18,258.278803
2,200,19,245.753964
3,200,0,231.786256
3,200,1,253.406835
3,200,2,237.111825
3,200,3,237.435666
3,200,4,240.262637
3,200,5,244.918372
3,200,6,240.676047
3,200,7,237.549355
3,200,8,236.135079
3,200,9,236.918758
3,200,10,249.102068
3,200,11,236.721036
3,200,12,246.090427
3,200,13,234.927174
3,200,14,240.287459
3,200,15,237.736938
3,200,16,237.974711
3,200,17,246.321640
3,200,18,235.044287
3,200,19,232.393432
4,200,0,241.007665
4,200,1,223.333782
4,200,2,230.569871
4,200,3,232.425104
4,200,4,222.297429
4,200,5,233.524273
4,200,6,230.513452
4,200,7,228.079295
4,200,8,234.533123
4,200,9,233.439062
4,200,10,228.796335
4,200,11,234.056356
4,200,12,237.058670
4,200,13,234.467672
4,200,14,229.258772
4,200,15,235.904513
4,200,16,237.811640
4,200,17,232.320805
4,200,18,219.650007
4,200,19,225.552176
5,200,0,230.987756
5,200,1,224.659312
5,200,2,231.611938
5,200,3,227.533900
5,200,4,229.187832
5,200,5,217.219020
5,200,6,228.353585
5,200,7,226.607314
5,200,8,230.505766
5,200,9,220.936923
5,200,10,233.014817
5,200,11,226.889154
5,200,12,237.922425
5,200,13,221.104760
5,200,14,231.268911
5,200,15,230.414746
5,200,16,226.977864
5,200,17,224.155173
5,200,18,228.963239
5,200,19,215.885566
6,200,0,226.878550
6,200,1,231.663559
6,200,2,221.399722
6,200,3,225.902239
6,200,4,232.744693
6,200,5,230.503310
6,200,6,227.478966
6,200,7,220.599787
6,200,8,221.206151
6,200,9,226.943617
6,200,10,221.355673
6,200,11,234.673998
6,200,12,223.232710
6,200,13,224.813706
6,200,14,221.122543
6,200,15,223.257613
6,200,16,222.559173
6,200,17,210.605672
6,200,18,222.992635
6,200,19,225.865684
8,200,0,232.280251
8,200,1,227.548039
8,200,2,223.646412
8,200,3,217.342329
8,200,4,223.110929
8,200,5,228.384303
8,200,6,232.068380
8,200,7,211.300836
8,200,8,221.409950
8,200,9,220.760786
8,200,10,226.156645
8,200,11,224.376456
8,200,12,223.050942
8,200,13,216.639016
8,200,14,219.842237
8,200,15,228.573988
8,200,16,225.928113
8,200,17,227.971670
8,200,18,219.387656
8,200,19,227.021061
10,200,0,228.340858
10,200,1,230.483089
10,200,2,229.284597
10,200,3,226.578415
10,200,4,219.325531
10,200,5,224.760726
10,200,6,212.372825
10,200,7,225.417411
10,200,8,224.331189
10,200,9,216.176886
10,200,10,228.891383
10,200,11,228.326539
10,200,12,223.731945
10,200,13,222.777006
10,200,14,226.306597
10,200,15,233.783648
10,200,16,229.611586
10,200,17,225.044890
10,200,18,232.397128
10,200,19,231.657752
12,200,0,235.399777
12,200,1,227.774824
12,200,2,241.211855
12,200,3,220.992156
12,200,4,230.693615
12,200,5,225.002659
12,200,6,232.998310
12,200,7,230.376499
12,200,8,234.040678
12,200,9,226.750132
12,200,10,234.045703
12,200,11,219.106096
12,200,12,232.289956
12,200,13,231.293388
12,200,14,230.666322
12,200,15,236.975985
12,200,16,237.531546
12,200,17,235.997336
12,200,18,231.978927
12,200,19,227.874235
