n,method,seed,id_error
4,OED probes,13,0.105146
4,OED probes,14,0.118270
4,OED probes,15,0.113473
4,OED probes,16,0.103061
4,OED probes,17,0.092366
4,OED probes,18,0.081660
4,OED probes,19,0.117731
5,OED probes,0,0.091256
5,OED probes,1,0.059017
5,OED probes,2,0.066789
5,OED probes,3,0.065200
5,OED probes,4,0.068304
5,OED probes,5,0.068313
5,OED probes,6,0.066851
5,OED probes,7,0.084246
5,OED probes,8,0.072207
5,OED probes,9,0.086581
5,OED probes,10,0.070278
5,OED probes,11,0.098750
5,OED probes,12,0.067826
5,OED probes,13,0.063174
5,OED probes,14,0.067970
5,OED probes,15,0.054841
5,OED probes,16,0.074987
5,OED probes,17,0.109265
5,OED probes,18,0.068924
5,OED probes,19,0.095222
6,OED probes,0,0.043480
6,OED probes,1,0.061235
6,OED probes,2,0.045253
6,OED probes,3,0.043535
6,OED probes,4,0.037991
6,OED probes,5,0.052465
6,OED probes,6,0.034544
6,OED probes,7,0.043826
6,OED probes,8,0.058581
6,OED probes,9,0.029776
6,OED probes,10,0.074766
6,OED probes,11,0.036623
6,OED probes,12,0.041394
6,OED probes,13,0.037965
6,OED probes,14,0.051250
6,OED probes,15,0.052834
6,OED probes,16,0.074570
6,OED probes,17,0.057288
6,OED probes,18,0.081582
6,OED probes,19,0.061043
8,OED probes,0,0.030800
8,OED probes,1,0.025691
8,OED probes,2,0.027193
8,OED probes,3,0.051926
8,OED probes,4,0.000000
8,OED probes,5,0.034119
8,OED probes,6,0.017829
8,OED probes,7,0.033415
8,OED probes,8,0.027749
8,OED probes,9,0.024521
8,OED probes,10,0.040663
8,OED probes,11,0.028110
8,OED probes,12,0.021272
8,OED probes,13,0.034573
8,OED probes,14,0.031639
8,OED probes,15,0.011220
8,OED probes,16,0.033503
8,OED probes,17,0.033237
8,OED probes,18,0.013936
8,OED probes,19,0.018606
10,OED probes,0,0.013267
10,OED probes,1,0.022259
10,OED probes,2,0.024552
10,OED probes,3,0.028201
10,OED probes,4,0.029642
10,OED probes,5,0.021985
10,OED probes,6,0.017847
10,OED probes,7,0.012547
10,OED probes,8,0.021527
10,OED probes,9,0.014790
10,OED probes,10,0.042000
10,OED probes,11,0.020796
10,OED probes,12,0.028424
10,OED probes,13,0.010082
10,OED probes,14,0.015582
10,OED probes,15,0.011769
10,OED probes,16,0.008425
10,OED probes,17,0.025015
10,OED probes,18,0.027981
10,OED probes,19,0.023309
12,OED probes,0,0.016155
12,OED probes,1,0.025228
12,OED probes,2,0.021979
12,OED probes,3,0.023512
12,OED probes,4,0.012493
12,OED probes,5,0.031645
12,OED probes,6,0.030997
12,OED probes,7,0.015678
12,OED probes,8,0.016329
12,OED probes,9,0.022746
12,OED probes,10,0.029196
12,OED probes,11,0.015226
12,OED probes,12,0.021494
12,OED probes,13,0.018401
12,OED probes,14,0.013550
12,OED probes,15,0.010737
12,OED probes,16,0.034007
12,OED probes,17,0.033017
12,OED probes,18,0.036353
12,OED probes,19,0.011257
